title,description,url,polarity,sentiment,publishedAt,fetched_at
Hamilton Stock: This Insurance Leader Rallies To New Highs Amid Market Sell-Off,Insurance leader Hamilton stock rallied to new highs this past week despite the ongoing stock market volatility.,https://www.investors.com/stock-lists/ipo-analysis/hamilton-stock-hg-stock-market-sell-off-insurance/,0.007575757575757569,Neutral,2025-11-21T20:06:38Z,2025-11-22T13:52:36.569054
"Catalyst Watch: Alibaba earnings, AI anxiety, airline M&A, and a Burry teaser","Stay ahead with next week's top stock market catalysts, earnings reports, dividends, OPEC+ meeting, and economic updates.",https://seekingalpha.com/news/4525028-catalyst-watch-alibaba-earnings-ai-anxiety-airline-m-and-a-and-a-burry-teaser,0.2333333333333333,Positive,2025-11-21T20:00:45Z,2025-11-22T13:52:36.569054
Cognizant Technology Solutions Shares Rise After William Blair Upgrade,"Cognizant Technology Solutions shares rose 5.5% in recent Friday trading after William Blair upgraded the stock to outperform from market perform.
Trading volume stood at over 5 million shares...",https://www.marketscreener.com/news/cognizant-technology-solutions-shares-rise-after-william-blair-upgrade-ce7d5edfdf8cf322,0.3,Positive,2025-11-21T19:52:15Z,2025-11-22T13:52:36.569054
Stock market saw massive drop. What happened on Wall Street,"Investors went for a wild ride Thursday as the stock market saw a dramatic fluctuation. Here's why, according to multiple reports.",https://www.northjersey.com/story/money/2025/11/21/why-stock-market-down-today-ai-bubble-nvidia-bitcoin/87394357007/,-0.08333333333333334,Neutral,2025-11-21T19:35:24Z,2025-11-22T13:52:36.569054
"More swings rock Wall Street, except stocks are jumping this time","More swings are rocking Wall Street, except the U.S. stock market is rising this time",https://www.barchart.com/story/news/36244901/more-swings-rock-wall-street-but-this-time-stocks-are-leaping-toward-a-stellar-day,0.5,Positive,2025-11-21T19:23:52Z,2025-11-22T13:52:36.569054
"Stock market turns bearish, loses 834 points","ISLAMABAD  -  The benchmark KSE-100 index of the Pakistan Stock Exchange (PSX) on Friday witnessed a bearish trend, losing 834.01 points, a decline of 0.51 per",https://www.nation.com.pk/22-Nov-2025/stock-market-turns-bearish-loses-834-points,-0.3,Negative,2025-11-21T19:00:00Z,2025-11-22T13:52:36.569054
"Why Oracle, Not Nvidia, Is the Company to Watch for Potential AI Trouble","Goldman Sachs (GS) partner John Flood says that if the AI trend continues to shape the stock market, then investors may need to focus more on te...",https://markets.businessinsider.com/news/stocks/why-oracle-not-nvidia-is-the-company-to-watch-for-potential-ai-trouble-1035587627,0.09999999999999999,Neutral,2025-11-21T18:46:27Z,2025-11-22T13:52:36.569054
"More swings rock Wall Street, except stocks are jumping this time","More swings are rocking Wall Street, except the U.S. stock market is rising this time",https://www.ajc.com/news/2025/11/more-swings-rock-wall-street-except-stocks-are-jumping-this-time/,0.5,Positive,2025-11-21T18:41:48Z,2025-11-22T13:52:36.569054
Bucharest Stock Exchange marks 30 years since its re-establishment through series of anniversary events,"The Bucharest Stock Exchange (BVB) celebrated, on November 20, 2025, thirty years since its reopening through a series of anniversary events together with various representatives of the Romanian capital market, according to a press release from the ...",https://www.stiripesurse.ro/bucharest-stock-exchange-marks-30-years-since-its-re-establishment-through-series-of-anniversary-events_3833157,0.175,Positive,2025-11-21T18:41:04Z,2025-11-22T13:52:36.569054
Kotak Mahindra stock split: Bank announces 1:5 share split; aims to boost liquidity,"India Business News: Kotak Mahindra Bank's board has approved a 1:5 equity share sub-division to enhance affordability and market liquidity. This decision, made on the ban",https://timesofindia.indiatimes.com/business/india-business/kotak-mahindra-stock-split-bank-announces-15-share-split-aims-to-boost-liquidity-what-you-need-to-know/articleshow/125492181.cms,0.0,Neutral,2025-11-21T18:03:00Z,2025-11-22T13:52:36.569054
